dataset,ks,fusion,model,seed,val_acc,test_acc
texas,1,concat,sage,1,0.3889,0.4474
texas,1,concat,sage,2,0.3056,0.3947
texas,1,concat,sage,3,0.5278,0.5263
texas,1,concat,sage,4,0.4167,0.3158
texas,1,concat,sage,5,0.4722,0.4211
texas,1,concat,sage,1,0.3889,0.4474
texas,1,concat,sage,2,0.3056,0.3947
texas,1,concat,sage,3,0.5278,0.5263
texas,1,concat,sage,4,0.4167,0.3158
texas,1,concat,sage,5,0.4722,0.4211
texas,2,concat,sage,1,0.2778,0.3158
texas,2,concat,sage,2,0.2500,0.3684
texas,2,concat,sage,3,0.4444,0.3684
texas,2,concat,sage,4,0.5278,0.4737
texas,2,concat,sage,5,0.3056,0.2895
texas,2,concat,sage,1,0.2778,0.3158
texas,2,concat,sage,2,0.2500,0.3684
texas,2,concat,sage,3,0.4444,0.3684
texas,2,concat,sage,4,0.5278,0.4737
texas,2,concat,sage,5,0.3056,0.2895
texas,3,concat,sage,1,0.3611,0.2895
texas,3,concat,sage,2,0.2500,0.3421
texas,3,concat,sage,3,0.3889,0.3421
texas,3,concat,sage,4,0.4167,0.5000
texas,3,concat,sage,5,0.2778,0.3158
texas,3,concat,sage,1,0.3611,0.2895
texas,3,concat,sage,2,0.2500,0.3421
texas,3,concat,sage,3,0.3889,0.3421
texas,3,concat,sage,4,0.4167,0.5000
texas,3,concat,sage,5,0.2778,0.3158
